year,season_type,game_id,team,opp,week,gsis_id,pos,player,attempts_total,yards_total,td_total,fumbles_total,fumbles_lost_total,fumbles_out_of_bounds_total,epa_total,attempts_designed,yards_designed,td_designed,fumbles_designed,fumbles_lost_designed,fumbles_out_of_bounds_designed,epa_designed,attempts_scramble,yards_scramble,td_scramble,fumbles_scramble,fumbles_lost_scramble,fumbles_out_of_bounds_scramble,epa_scramble,attempts_kneel,yards_kneel,td_kneel,fumbles_kneel,fumbles_lost_kneel,fumbles_out_of_bounds_kneel,epa_kneel,attempts,yards,td,fumbles,fumbles_lost,fumbles_out_of_bounds,epa
2020,POST,2020_18_CLE_PIT,PIT,CLE,18.0,00-0022924,QB,B.Roethlisberger,1.0,0.0,0.0,1.0,1.0,0.0,-8.032719670794902,1.0,0.0,0.0,1.0,1.0,0.0,-8.032719670794902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-8.032719670794902
2020,POST,2020_18_CLE_PIT,PIT,CLE,18.0,00-0032897,FB,D.Watt,2.0,2.0,0.0,0.0,0.0,0.0,-1.1791511841583997,2.0,2.0,0.0,0.0,0.0,0.0,-1.1791511841583997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.1791511841583997
2020,POST,2020_18_CLE_PIT,PIT,CLE,18.0,00-0033553,RB,J.Conner,11.0,37.0,1.0,0.0,0.0,0.0,2.313207811617758,11.0,37.0,1.0,0.0,0.0,0.0,2.313207811617758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,1.0,0.0,0.0,0.0,2.313207811617758
2020,POST,2020_18_CLE_PIT,PIT,CLE,18.0,00-0035217,RB,B.Snell,2.0,13.0,0.0,0.0,0.0,0.0,0.3813515196670778,2.0,13.0,0.0,0.0,0.0,0.0,0.3813515196670778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.3813515196670778
2020,POST,2020_18_IND_BUF,BUF,IND,18.0,00-0034857,QB,J.Allen,11.0,54.0,1.0,0.0,0.0,0.0,1.412894790051741,8.0,30.0,1.0,0.0,0.0,0.0,0.47449979685736204,3.0,24.0,0.0,0.0,0.0,0.0,0.9383949931943789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,54.0,1.0,0.0,0.0,0.0,1.412894790051741
2020,POST,2020_18_IND_BUF,BUF,IND,18.0,00-0035250,RB,D.Singletary,3.0,21.0,0.0,0.0,0.0,0.0,1.0300105945789255,3.0,21.0,0.0,0.0,0.0,0.0,1.0300105945789255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,1.0300105945789255
2020,POST,2020_18_IND_BUF,BUF,IND,18.0,00-0036251,RB,Z.Moss,7.0,21.0,0.0,0.0,0.0,0.0,-2.343782922369428,7.0,21.0,0.0,0.0,0.0,0.0,-2.343782922369428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,-2.343782922369428
2020,POST,2020_18_IND_BUF,IND,BUF,18.0,00-0022942,QB,P.Rivers,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,POST,2020_18_IND_BUF,IND,BUF,18.0,00-0033119,QB,J.Brissett,1.0,0.0,0.0,0.0,0.0,0.0,-0.2562996052438393,1.0,0.0,0.0,0.0,0.0,0.0,-0.2562996052438393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2562996052438393
2020,POST,2020_18_IND_BUF,IND,BUF,18.0,00-0034367,RB,N.Hines,6.0,75.0,0.0,0.0,0.0,0.0,3.817598485213239,6.0,75.0,0.0,0.0,0.0,0.0,3.817598485213239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,75.0,0.0,0.0,0.0,0.0,3.817598485213239
