year,season_type,game_id,team,opp,week,attempts_total,yards_total,td_total,fumbles_total,fumbles_lost_total,fumbles_out_of_bounds_total,epa_total,attempts_designed,yards_designed,td_designed,fumbles_designed,fumbles_lost_designed,fumbles_out_of_bounds_designed,epa_designed,attempts_scramble,yards_scramble,td_scramble,fumbles_scramble,fumbles_lost_scramble,fumbles_out_of_bounds_scramble,epa_scramble,attempts_kneel,yards_kneel,td_kneel,fumbles_kneel,fumbles_lost_kneel,fumbles_out_of_bounds_kneel,epa_kneel,attempts,yards,td,fumbles,fumbles_lost,fumbles_out_of_bounds,epa,attempts_rb,yards_rb,td_rb,epa_rb,attempts_qb_designed,yards_qb_designed,td_qb_designed,epa_qb_designed,attempts_qb_scramble,yards_qb_scramble,td_qb_scramble,epa_qb_scramble,attempts_qb_kneel,yards_qb_kneel,epa_qb_kneel,attempts_wr,yards_wr,td_wr,epa_wr,attempts_other,yards_other,td_other,epa_other
2020,POST,2020_20_TB_GB,TB,GB,20,24,76,1,0,0,0,-3.8778798486455344,23,77,1,0,0,0,-2.8644553716876544,0,0,0,0,0,0,0.0,1,-1,0,0,0,0,-1.01342447695788,23,77,1,0,0,0,-2.8644553716876544,22,71,1,-2.9526600452954885,0,0,0,0.0,0,0,0,0.0,1,-1,-1.01342447695788,1,6,0,0.08820467360783367,0,0,0,0.0
2020,REG,2020_01_ARI_SF,ARI,SF,1,36,180,2,1,0,0,9.08103456601384,26,98,1,1,0,0,-1.8122922265029051,8,91,1,0,0,0,10.893326792516744,2,-9,0,0,0,0,0.0,34,189,2,1,0,0,9.08103456601384,22,86,1,-1.8205426101631024,4,12,0,0.0082503836601974,8,91,1,10.893326792516744,2,-9,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_ARI_SF,SF,ARI,1,25,123,0,0,0,0,-3.2096518484759153,24,114,0,0,0,0,-3.6561717272852556,1,9,0,0,0,0,0.4465198788093403,0,0,0,0,0,0,0.0,25,123,0,0,0,0,-3.2096518484759153,22,98,0,-4.569392833218445,0,0,0,0.0,1,9,0,0.4465198788093403,0,0,0.0,0,0,0,0.0,2,16,0,0.9132211059331894
2020,REG,2020_01_CHI_DET,CHI,DET,1,28,149,0,0,0,0,4.728531861648662,26,123,0,0,0,0,2.414995461091167,2,26,0,0,0,0,2.313536400557495,0,0,0,0,0,0,0.0,28,149,0,0,0,0,4.728531861648662,20,105,0,3.1589448351587635,1,0,0,-1.808787786867469,2,26,0,2.313536400557495,0,0,0.0,5,18,0,1.0648384127998725,0,0,0,0.0
2020,REG,2020_01_CHI_DET,DET,CHI,1,29,138,1,0,0,0,-3.0151905220991457,25,116,1,0,0,0,-2.854100473370635,4,22,0,0,0,0,-0.16109004872851077,0,0,0,0,0,0,0.0,29,138,1,0,0,0,-3.0151905220991457,24,115,1,-2.317077410552883,1,1,0,-0.5370230628177524,4,22,0,-0.16109004872851077,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_CLE_BAL,BAL,CLE,1,30,111,2,2,1,0,-2.126354312407784,27,90,2,2,1,0,-5.223543550237082,2,22,0,0,0,0,3.097189237829298,1,-1,0,0,0,0,0.0,29,112,2,2,1,0,-2.126354312407784,21,68,2,-0.6500471156905403,5,23,0,0.8511008879868316,2,22,0,3.097189237829298,1,-1,0.0,0,0,0,0.0,1,-1,0,-5.424597322533373
2020,REG,2020_01_CLE_BAL,CLE,BAL,1,27,138,0,3,2,0,-5.782498765096535,25,135,0,3,2,0,-5.751368492201437,1,4,0,0,0,0,-0.031130272895097733,1,-1,0,0,0,0,0.0,26,139,0,3,2,0,-5.782498765096535,24,137,0,-2.449203361349647,0,0,0,0.0,1,4,0,-0.031130272895097733,1,-1,0.0,0,0,0,0.0,1,-2,0,-3.3021651308517903
2020,REG,2020_01_DAL_LA,DAL,LA,1,27,136,1,0,0,0,3.6617354879854247,24,106,1,0,0,0,0.533147211826872,3,30,0,0,0,0,3.1285882761585526,0,0,0,0,0,0,0.0,27,136,1,0,0,0,3.6617354879854247,24,106,1,0.533147211826872,0,0,0,0.0,3,30,0,3.1285882761585526,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_DAL_LA,LA,DAL,1,40,153,2,0,0,0,-3.2493934680361045,37,146,2,0,0,0,-0.5262633208886465,2,8,0,0,0,0,-0.28502657532226294,1,-1,0,0,0,0,-2.438103571825195,39,154,2,0,0,0,-0.8112898962109094,35,124,2,-2.780486736516722,1,8,0,1.4803046737797558,2,8,0,-0.28502657532226294,1,-1,-2.438103571825195,1,14,0,0.7739187418483198,0,0,0,0.0
2020,REG,2020_01_GB_MIN,GB,MIN,1,32,158,1,1,0,1,5.5421344437636435,30,160,1,1,0,1,5.5421344437636435,0,0,0,0,0,0,0.0,2,-2,0,0,0,0,0.0,30,160,1,1,0,1,5.5421344437636435,28,139,1,2.2321701105684046,1,2,0,1.9661847822135317,0,0,0,0.0,2,-2,0.0,1,19,0,1.343779550981708,0,0,0,0.0
